I1,I2,La,Lb,Mab,FLUX_in_RCORE,FLUX_in_LCORE,FLUX_in_UCORE,Leak_R,Leak_L
-180,260,4.24E-05,4.86E-05,-5.83E-06,2.106895649,-2.171600315,-2.152709677,-0.011969843,0.017178177
-160,-260,6.66E-05,1.44E-04,-3.30E-05,-0.472378334,2.076475111,1.683136987,-0.047336812,-0.047863084
-160,-240,7.30E-05,1.42E-04,-3.56E-05,-0.456544009,2.03506389,1.617991214,-0.047614933,-0.048764483
-160,-220,8.06E-05,1.38E-04,-3.84E-05,-0.370152906,1.982937695,1.620056948,-0.047191524,-0.048232106
-160,-200,9.14E-05,1.35E-04,-4.21E-05,-0.316033227,1.925954647,1.490604896,-0.047126487,-0.047590573
-160,-180,0.000103228,1.31E-04,-4.58E-05,-0.200444189,1.780620202,1.363531753,-0.04718316,-0.047940967
-160,-160,0.000124152,0.000124136,-0.000051404,0.804711643,0.805111637,-0.000556848,-0.046840968,-0.046632414
-160,-140,1.50E-04,0.000115624,-5.67E-05,1.78546742,-0.374091726,-1.399880497,-0.041739163,-0.041765372
-160,-120,1.69E-04,1.07E-04,-5.84E-05,1.863168073,-0.655818478,-1.683012335,-0.03790078,-0.035879851
-160,-100,1.75E-04,9.78E-05,-5.50E-05,1.936098693,-0.880504923,-1.783932472,-0.033711999,-0.030529555
-160,-80,1.76E-04,9.05E-05,-5.06E-05,1.962617171,-1.033786205,-1.873687128,-0.03102615,-0.025037005
-160,-60,1.65E-04,8.27E-05,-4.33E-05,1.983508316,-1.181405267,-1.931590501,-0.028331152,-0.019688604
-160,-40,1.51E-04,7.52E-05,-3.55E-05,2.012628846,-1.37782828,-1.978392239,-0.025339173,-0.014631423
-160,-20,1.38E-04,6.99E-05,-2.97E-05,2.02871402,-1.523527973,-2.017572529,-0.023318901,-0.009783438
-160,0,1.23E-04,6.62E-05,-2.45E-05,2.039433673,-1.619653805,-2.042041459,-0.021343208,-0.005349023
-160,20,1.06E-04,6.34E-05,-2.00E-05,2.049553865,-1.727203414,-2.064870336,-0.019446675,-0.001408509
-160,40,9.07E-05,6.13E-05,-1.66E-05,2.056740016,-1.81123745,-2.080838336,-0.018080319,0.001670205
-160,60,7.97E-05,5.98E-05,-1.41E-05,2.05974431,-1.875821624,-2.090411611,-0.017072753,0.004451916
-160,80,7.32E-05,5.85E-05,-1.26E-05,2.065791953,-1.933336587,-2.100265916,-0.015900596,0.006477908
-160,100,6.80E-05,5.75E-05,-1.14E-05,2.069118007,-1.976778733,-2.10850107,-0.01506377,0.00880471
-160,120,6.22E-05,5.65E-05,-1.02E-05,2.072217082,-2.01833767,-2.115177568,-0.01434253,0.010685795
-160,140,5.84E-05,5.56E-05,-9.41E-06,2.0754334,-2.050034113,-2.123648186,-0.013581034,0.011905063
-160,160,5.48E-05,5.48E-05,-8.67E-06,2.077506153,-2.076443931,-2.127229973,-0.01313573,0.013282401
-160,180,5.08E-05,5.41E-05,-7.91E-06,2.079651978,-2.099616185,-2.130572281,-0.012614323,0.01443324
-160,200,4.84E-05,5.34E-05,-7.41E-06,2.082196956,-2.120076574,-2.135168747,-0.012125495,0.015332069
-160,220,4.65E-05,5.28E-05,-7.01E-06,2.083881533,-2.139457175,-2.141305368,-0.011613268,0.016190669
-160,240,4.47E-05,5.22E-05,-6.64E-06,2.085086471,-2.156094038,-2.145779767,-0.01111317,0.016797641
-160,260,4.28E-05,5.17E-05,-6.27E-06,2.085571052,-2.169476288,-2.148450676,-0.010736074,0.018130796
-140,-260,6.34E-05,1.54E-04,-3.31E-05,-0.647055882,2.078552923,1.831330686,-0.042323431,-0.046495558
-140,-240,7.00E-05,1.56E-04,-3.67E-05,-0.622699506,2.042626455,1.80939822,-0.041987183,-0.04627596
-140,-220,7.71E-05,1.56E-04,-4.05E-05,-0.571412688,1.996486356,1.783623233,-0.042054198,-0.045650794
-140,-200,8.76E-05,1.56E-04,-4.55E-05,-0.55291689,1.980458894,1.652851171,-0.041551594,-0.042708946
-140,-180,9.83E-05,1.54E-04,-5.01E-05,-0.37082033,1.850172079,1.687616299,-0.041670009,-0.044407341
-140,-160,0.000115544,1.50E-04,-5.66E-05,-0.385111757,1.768452585,1.414139667,-0.041206168,-0.042333331
-140,-140,0.000144788,0.000144756,-0.000066364,0.70410717,0.705169679,-0.000166824,-0.040974991,-0.040801062
-140,-120,1.72E-04,0.00013412,-7.15E-05,1.75161866,-0.519269769,-1.528755152,-0.036414622,-0.035675323
-140,-100,1.81E-04,1.17E-04,-6.61E-05,1.855415473,-0.811558272,-1.709677235,-0.032574888,-0.030339045
-140,-80,1.82E-04,1.04E-04,-5.97E-05,1.905509356,-1.004903493,-1.833705868,-0.029899733,-0.024885955
-140,-60,1.74E-04,9.36E-05,-5.13E-05,1.944935144,-1.192853123,-1.904792927,-0.0262956,-0.019378599
-140,-40,1.58E-04,8.55E-05,-4.24E-05,1.966716845,-1.352489974,-1.955881467,-0.023900079,-0.014228005
-140,-20,1.45E-04,7.91E-05,-3.53E-05,1.989520583,-1.484139345,-1.999982633,-0.021607778,-0.009261262
-140,0,1.28E-04,7.34E-05,-2.86E-05,2.002029504,-1.615615635,-2.031144828,-0.019885212,-0.005029848
-140,20,1.10E-04,6.88E-05,-2.28E-05,2.014911958,-1.715959911,-2.054601989,-0.018230409,-0.001005403
-140,40,9.44E-05,6.60E-05,-1.86E-05,2.025460374,-1.803582133,-2.072587664,-0.016992886,0.002125713
-140,60,8.16E-05,6.40E-05,-1.56E-05,2.031584941,-1.870745758,-2.080899174,-0.015900143,0.004615724
-140,80,7.45E-05,6.25E-05,-1.38E-05,2.036966212,-1.928850741,-2.094207781,-0.014719048,0.007097465
-140,100,6.94E-05,6.13E-05,-1.25E-05,2.041980619,-1.972822836,-2.10232702,-0.013913767,0.009334202
-140,120,6.32E-05,6.02E-05,-1.11E-05,2.046354158,-2.014826708,-2.111880047,-0.013066902,0.011042011
