t,Ia,Ib,I_total,Fluxr,Fluxl,Fluxu,Leakr,Leakl
2.3925000000000002e-05,116.68372135865155,101.2519904858669,217.93571184451844,1.4554479257009596,-0.4101743727908927,-1.2149401000266014,0.03094889139962686,0.029993395376134088
2.3950000000000003e-05,116.72838425576178,101.3018142377468,218.03019849350858,1.4553684278392018,-0.4096381431607519,-1.214532687995373,0.03096204411753577,0.03000700330483785
2.3975000000000003e-05,116.77305217582138,101.35164386792115,218.12469604374252,1.4552894790183009,-0.4091009236534678,-1.2141253780959245,0.030975237939678213,0.030020644998515672
2.4e-05,116.81772511592801,101.40147936588058,218.2192044818086,1.4552110798539313,-0.40856271445240216,-1.2137181709857345,0.03098847287762216,0.03003432046572212
2.4025e-05,116.86240307317715,101.4513207211009,218.31372379427805,1.4551332309621898,-0.4080235157422097,-1.213311067323203,0.031001748942912497,0.030048029714991754
2.4050000000000002e-05,116.90708604466205,101.50116792304318,218.40825396770524,1.455055932959568,-0.4074833277088117,-1.2129040677676142,0.03101506614707106,0.030061772754839112
2.4075000000000002e-05,116.95177402747373,101.55102096115378,218.5027949886275,1.454979186462977,-0.4069421505394243,-1.212497172979173,0.031028424501596503,0.030075549593758646
2.4100000000000003e-05,116.99646701870098,101.60087982486439,218.5973468435654,1.4549029920897198,-0.40639998442252867,-1.2120903836189652,0.03104182401796437,0.030089360240224752
2.4125000000000004e-05,117.04116501543032,101.65074450359205,218.69190951902237,1.4548273504575013,-0.40585682954788493,-1.211683700348974,0.03105526470762695,0.030103204702691705
2.415e-05,117.085868014746,101.7006149867392,218.78648300148518,1.4547522621844258,-0.40531268610653004,-1.2112771238320748,0.031068746582013362,0.030117082989593646
2.4175e-05,117.13057601372996,101.7504912636937,218.88106727742365,1.4546777278889764,-0.4047675542907583,-1.2108706547320112,0.031082269652529398,0.030130995109344565
2.4200000000000002e-05,117.17528900946186,101.80037332382892,218.97566233329078,1.4546037481900473,-0.4042214342941557,-1.2104642937134356,0.03109583393055757,0.030144941070338247
2.4225000000000003e-05,117.220006999019,101.8502611565037,219.0702681555227,1.4545303237068867,-0.40367432631154243,-1.2100580414418358,0.031109439427457038,0.030158920880948292
2.4250000000000003e-05,117.26472997947637,101.90015475106246,219.16488473053883,1.45445745505915,-0.40312623053902963,-1.2096518985836053,0.031123086154563603,0.03017293454952806
2.4275e-05,117.30945794790658,101.95005409683516,219.25951204474174,1.454385142866855,-0.402577147173975,-1.2092458658059857,0.03113677412318963,0.03018698208441064
2.43e-05,117.35419090137988,101.99995918313742,219.3541500845173,1.4543133877503926,-0.4020270764149933,-1.2088399437770783,0.03115050334462405,0.03020106349390885
2.4325000000000002e-05,117.39892883696412,102.04986999927051,219.44879883623463,1.4542421903305252,-0.4014760184619577,-1.2084341331658457,0.031164273830132313,0.03021517878631521
2.4350000000000002e-05,117.44367175172474,102.0997865345214,219.54345828624614,1.454171551228383,-0.4009239735159974,-1.2080284346421069,0.031178085590956355,0.0302293279699019
2.4375000000000003e-05,117.48841964272475,102.1497087781628,219.63812842088754,1.4541014710654578,-0.4003709417794913,-1.2076228488765268,0.03119193863831455,0.030243511052920734
2.4400000000000004e-05,117.53317250702474,102.19963671945321,219.73280922647797,1.4540319504635872,-0.39981692345605485,-1.2072173765405998,0.031205832983401686,0.030257728043603167
2.4425e-05,117.57793034168282,102.2495703476369,219.82750068931972,1.453962990044976,-0.3992619187505615,-1.2068120183066748,0.03121976863738895,0.030271978950160244
2.445e-05,117.62269314375462,102.29950965194406,219.9222027956987,1.453894590432177,-0.3987059278691273,-1.2064067748479352,0.031233745611423832,0.030286263780782557
2.4475000000000002e-05,117.66746091029329,102.34945462159074,220.01691553188402,1.453826752248086,-0.3981489510191033,-1.206001646838387,0.03124776391663018,0.03030058254364029
2.4500000000000003e-05,117.71223363834946,102.39940524577892,220.11163888412838,1.4537594761159365,-0.3975909884090735,-1.205596634952855,0.031261823564108074,0.030314935246883126
2.4525000000000003e-05,117.75701132497123,102.44936151369659,220.20637283866782,1.4536927626593088,-0.3970320402488669,-1.2051917398669971,0.03127592456493385,0.03032932189864024
2.4550000000000004e-05,117.80179396720416,102.4993234145177,220.30111738172187,1.453626612502111,-0.39647210674953604,-1.2047869622572764,0.03129006693016008,0.03034374250702032
2.4575e-05,117.84658156209123,102.5492909374023,220.39587249949352,1.45356102626859,-0.3959111881233733,-1.2043823028009792,0.03130425067081544,0.030358197080111456
2.46e-05,117.89137410667286,102.59926407149653,220.49063817816938,1.4534960045833059,-0.3953492845838821,-1.2039777621761782,0.031318475797904796,0.030372685625981215
2.4625000000000002e-05,117.93617159798684,102.64924280593266,220.58541440391951,1.453431548071157,-0.39478639634580753,-1.2035733410617695,0.03133274232240911,0.030387208152676533
